[Sep 18 10:24:48.361]  INFO app: Start server_ip=154.12.235.41
[Sep 18 10:24:48.364]  INFO connecting with SN-Service sn-addr=localhost:14444
[Sep 18 10:24:48.894]  INFO connection established with SN-Service
[Sep 18 10:24:48.894]  INFO connection established with SN-P2P-Service
[Sep 18 10:24:48.894]  INFO app: Config: {"log-config":{"log-file":"/home/ubuntu/.pastel/hermes.log","log-compress":true,"log-max-size-mb":100,"log-max-age-days":3,"log-max-backups":10,"log-levels":{"common":"info","p2p":"error","metadb":"error","dd":"error"}},"quiet":true,"dd-service-dir":"/home/ubuntu/pastel_dupe_detection_service","pastel_id":"jXZ6VsP7LkNJE7oSrNRbvYfUHVLFySKeGyDUrTign84UURDohKDXcr49cRRG7fw8gjRxbtLL8ReGHgjfmv7z9y","pass_phrase":"passphrase","work-dir":"/home/ubuntu/.pastel","sn_host":"localhost","sn_port":14444,"debug-service":{"http-port":9091}} server_ip=154.12.235.41
[Sep 18 10:24:48.970]  INFO hermes-debug-service: Service started server_ip=154.12.235.41
[Sep 18 10:24:48.970]  INFO hermes-debug-service: Http server started port=9091 server_ip=154.12.235.41
[Sep 18 10:26:48.924]  INFO app: pastel-block service run() has been invoked server_ip=154.12.235.41
[Sep 18 10:26:48.924]  INFO app: cleanup service run() has been invoked server_ip=154.12.235.41
[Sep 18 10:26:48.924]  INFO app: collection service run() has been invoked server_ip=154.12.235.41
[Sep 18 10:26:48.924]  INFO app: fingerprint service run() has been invoked server_ip=154.12.235.41
[Sep 18 10:26:53.928]  INFO app: Done for waiting synchronization status server_ip=154.12.235.41
[Sep 18 10:26:53.928]  INFO app: Done for waiting synchronization status server_ip=154.12.235.41
[Sep 18 10:26:53.928]  INFO app: getting Activation tickets, checking non seed records. server_ip=154.12.235.41
[Sep 18 10:26:53.928]  INFO app: Done for waiting synchronization status server_ip=154.12.235.41
[Sep 18 10:26:53.928]  INFO app: pastel block service run() has been invoked server_ip=154.12.235.41
[Sep 18 10:26:53.928]  INFO app: Done for waiting synchronization status server_ip=154.12.235.41
[Sep 18 10:26:53.933]  INFO app: latest block count retrieved from DB db_block_count=345052 server_ip=154.12.235.41
[Sep 18 10:26:53.945]  INFO app: pastel block count has been retrieved pastel_block_count=345056 server_ip=154.12.235.41
[Sep 18 10:26:53.946]  INFO app: nft-collection-act tickets have been retrieved, going to sort on block height server_ip=154.12.235.41
[Sep 18 10:26:53.946]  INFO app: nft-collection-act tickets have been sorted count=25 server_ip=154.12.235.41
